Script started on Mon Aug 26 04:28:30 2019
$ python diff_pool_only1  yon1.py
Epoch: 068, Train Loss: 0.5541488, Val Acc: 0.5500000, Test Acc: 0.3833333
Epoch: 069, Train Loss: 0.7854124, Val Acc: 0.4166667, Test Acc: 0.3833333
Epoch: 070, Train Loss: 0.8696760, Val Acc: 0.3333333, Test Acc: 0.3833333
Epoch: 071, Train Loss: 1.0515289, Val Acc: 0.4833333, Test Acc: 0.3833333
Epoch: 072, Train Loss: 0.7414006, Val Acc: 0.4000000, Test Acc: 0.3833333
Epoch: 073, Train Loss: 0.6271878, Val Acc: 0.5166667, Test Acc: 0.3833333
Epoch: 074, Train Loss: 0.6110475, Val Acc: 0.4500000, Test Acc: 0.3833333
Epoch: 075, Train Loss: 0.4924279, Val Acc: 0.5000000, Test Acc: 0.3833333
Epoch: 076, Train Loss: 0.5073711, Val Acc: 0.5166667, Test Acc: 0.3833333
Epoch: 077, Train Loss: 0.5018542, Val Acc: 0.4666667, Test Acc: 0.3833333
Epoch: 078, Train Loss: 0.4949789, Val Acc: 0.4333333, Test Acc: 0.3833333
Epoch: 079, Train Loss: 0.4239284, Val Acc: 0.4833333, Test Acc: 0.3833333
Epoch: 080, Train Loss: 0.4022277, Val Acc: 0.5000000, Test Acc: 0.3833333
Epoch: 081, Train Loss: 0.3955831, Val Acc: 0.4333333, Test Acc: 0.3833333
Epoch: 082, Train Loss: 0.3543382, Val Acc: 0.5166667, Test Acc: 0.3833333
Epoch: 083, Train Loss: 0.3174484, Val Acc: 0.4333333, Test Acc: 0.3833333
Epoch: 084, Train Loss: 0.3244887, Val Acc: 0.5166667, Test Acc: 0.3833333
Epoch: 085, Train Loss: 0.3666994, Val Acc: 0.5000000, Test Acc: 0.3833333
Epoch: 086, Train Loss: 0.3326660, Val Acc: 0.5166667, Test Acc: 0.3833333
Epoch: 087, Train Loss: 0.3191700, Val Acc: 0.4500000, Test Acc: 0.3833333
Epoch: 088, Train Loss: 0.2945228, Val Acc: 0.4833333, Test Acc: 0.3833333
Epoch: 089, Train Loss: 0.2877321, Val Acc: 0.5333333, Test Acc: 0.3833333
Epoch: 090, Train Loss: 0.3403604, Val Acc: 0.4666667, Test Acc: 0.3833333
Epoch: 091, Train Loss: 0.5445355, Val Acc: 0.4000000, Test Acc: 0.3833333
